Ag,1
As,97
Au,2
Ba,645
Bi,39
Br,1
Cd,28
Ce,580
Co,367
Cs,7
Cu,1637
Dy,3
Er,336
Eu,232
Fe,3094
Ga,350
Ge,470
I,1
In,101
Ir,7
La,183
Lu,6
Mn,49037
Mo,23
Nb,25
Nd,112
Ni,51
Os,251
Pb,132
Pr,164
Pt,587
Ru,294
Sb,301
Sm,39
Sn,123
Sr,111
Ta,16
Tb,140
Te,381
Ti,525
Tl,48
U,23
W,2689
Yb,321
Zn,2091
Zr,1298
